Date,Open,High,Low,Close,Adj Close,Volume
2017-06-24,268.742126,270.312317,253.372406,254.638153,254.638153,529881233
2017-06-25,254.457214,261.793579,223.497177,237.990891,237.990891,931470726
2017-06-26,237.760941,244.319122,187.631897,214.363632,214.363632,1636514462
2017-06-27,214.363632,228.796265,177.923386,228.796265,228.796265,1540882085
2017-06-28,228.760330,257.660889,215.662018,253.479950,253.479950,1589665313
2017-06-29,253.819275,255.294128,229.383667,232.861526,232.861526,1159821609
2017-06-30,233.068359,242.551941,222.101334,226.492584,226.492584,777052453
2017-07-01,225.292221,225.595566,206.295212,210.890884,210.890884,836494892
2017-07-02,211.291748,226.982880,201.612778,221.307159,221.307159,863236800
2017-07-03,221.635284,224.046799,216.806229,218.470932,218.470932,657508687
2017-07-04,217.924942,222.298889,211.386215,211.305862,211.305862,531692444
2017-07-05,211.148132,212.879135,202.264420,207.868515,207.868515,611180201
2017-07-06,207.933487,215.388672,205.329819,208.644257,208.644257,480512069
2017-07-07,208.490784,212.738205,189.429016,190.838638,190.838638,533166771
2017-07-08,190.760284,212.162140,183.515121,195.265320,195.265320,585692797
2017-07-09,195.362305,197.909225,187.848709,187.848709,187.848709,391868127
2017-07-10,188.526764,188.631851,152.946884,167.202637,167.202637,727654509
2017-07-11,164.227478,171.099808,142.307755,153.514282,153.514282,1120577040
2017-07-12,153.318298,179.047256,147.563049,179.047256,179.047256,962983952
2017-07-13,179.852585,179.852585,154.693420,162.043579,162.043579,640105867
2017-07-14,161.885971,163.150940,143.318024,152.390472,152.390472,571960018
2017-07-15,152.426346,152.771332,130.251099,130.251099,130.251099,618571186
2017-07-16,129.426041,131.288361,102.063049,120.041962,120.041962,1157136306
2017-07-17,122.046684,149.201721,120.607452,148.228973,148.228973,1279408408
2017-07-18,149.457428,205.510727,139.135651,179.816650,179.816650,2078450350
2017-07-19,180.238586,188.701035,147.190445,153.287537,153.287537,1787526877
2017-07-20,157.677307,180.356247,155.972061,175.304688,175.304688,1716291218
2017-07-21,174.375961,180.915665,163.916885,168.030319,168.030319,774422709
